X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
,2024-05-31 16:03:46,2024-05-29,NVDA,Hudson Dawn E,Dir,S - Sale,"$1,150.03",-5000,"45,500",-10%,-5750150,,,,
,2024-05-30 16:29:43,2024-05-28,NVDA,McCaffery Michael G,Dir,S - Sale,"$1,147.34",-57,"9,630",-1%,-65398,,,,
,2024-05-30 16:29:02,2024-05-28,NVDA,McCaffery Michael G,Dir,S - Sale,"$1,122.91",-3879,"9,687",-29%,-4355785,,,,
,2024-05-30 16:27:19,2024-05-28,NVDA,Seawell A Brooke,Dir,S - Sale,"$1,117.72",-1438,"500,650",0%,-1607281,,,,
M,2024-05-29 16:13:12,2024-05-24,NVDA,Hudson Dawn E,Dir,S - Sale,"$1,079.41",-20000,"50,500",-28%,-21588245,,,,
,2024-05-29 16:12:25,2024-05-24,NVDA,Dabiri John,Dir,S - Sale,"$1,043.95",-198,"1,857",-10%,-206702,,,,
,2024-04-09 16:30:49,2024-04-05,NVDA,Stevens Mark A,Dir,S - Sale,$879.97,-22700,"4,069,181",-1%,-19975240,,,,
,2024-04-03 16:27:12,2024-04-02,NVDA,Perry Mark L,Dir,S - Sale,$887.89,-7000,"131,612",-5%,-6215259,,,,
,2024-04-01 17:03:06,2024-03-28,NVDA,Stevens Mark A,Dir,S - Sale,$905.65,-11000,"4,091,881",0%,-9962150,,,,
,2024-03-27 17:06:29,2024-03-25,NVDA,Dabiri John,Dir,S - Sale,$940.00,-128,"2,055",-6%,-120320,,,,
,2024-03-26 18:38:49,2024-03-22,NVDA,Robertson Donald F Jr,Principal Accounting Officer,S - Sale,$911.62,-450,"49,815",-1%,-410229,,,,
,2024-03-11 16:55:58,2024-03-07,NVDA,Stevens Mark A,Dir,S - Sale,$919.33,-21750,"4,102,881",-1%,-19995508,,,,
,2024-03-06 19:53:43,2024-03-05,NVDA,Drell Persis,Dir,S - Sale,$845.13,-5000,"28,828",-15%,-4225640,,,,
